"Section","Variable","Source","Model","ScalarName","AnalysisType","Region","ScalarType","Units","Data","Weight"
"Forcings","Precipitation","GPCPv2.3","ENSEMBLE-CMIP6","Model Period Mean (complement)","MeanState","global","scalar","mm d-1","nan","40.0"
"Forcings","Precipitation","GPCPv2.3","ENSEMBLE-CMIP6","Spatial Distribution Score","MeanState","global","score","1","0.972755","40.0"
"Forcings","Precipitation","GPCPv2.3","ENSEMBLE-CMIP6","Phase Shift","MeanState","global","scalar","months","1.11906","40.0"
"Forcings","Precipitation","GPCPv2.3","ENSEMBLE-CMIP6","Seasonal Cycle Score","MeanState","global","score","1","0.862606","40.0"
"Forcings","Precipitation","GPCPv2.3","ENSEMBLE-CMIP6","Bias","MeanState","global","scalar","mm d-1","0.11344","40.0"
"Forcings","Precipitation","GPCPv2.3","ENSEMBLE-CMIP6","Bias Score","MeanState","global","score","1","0.724982","40.0"
"Forcings","Precipitation","GPCPv2.3","ENSEMBLE-CMIP6","RMSE","MeanState","global","scalar","mm d-1","0.967254","40.0"
"Forcings","Precipitation","GPCPv2.3","ENSEMBLE-CMIP6","RMSE Score","MeanState","global","score","1","0.684147","40.0"
"Forcings","Precipitation","GPCPv2.3","ENSEMBLE-CMIP6","Overall Score","MeanState","global","score","1","0.785727","40.0"
"Forcings","Precipitation","GPCPv2.3","CARDAMOM","Benchmark Period Mean (intersection)","MeanState","global","scalar","mm d-1","2.37263","40.0"
"Forcings","Precipitation","GPCPv2.3","CARDAMOM","Benchmark Period Mean (complement)","MeanState","global","scalar","mm d-1","3.26519","40.0"
"Forcings","Precipitation","GPCPv2.3","CARDAMOM","Period Mean (original grids)","MeanState","global","scalar","mm d-1","2.48248","40.0"
"Forcings","Precipitation","GPCPv2.3","CARDAMOM","Model Period Mean (intersection)","MeanState","global","scalar","mm d-1","2.44436","40.0"
"Forcings","Precipitation","GPCPv2.3","CARDAMOM","Model Period Mean (complement)","MeanState","global","scalar","mm d-1","nan","40.0"
"Forcings","Precipitation","GPCPv2.3","CARDAMOM","Spatial Distribution Score","MeanState","global","score","1","0.973264","40.0"
"Forcings","Precipitation","GPCPv2.3","CARDAMOM","Phase Shift","MeanState","global","scalar","months","0.910443","40.0"
"Forcings","Precipitation","GPCPv2.3","CARDAMOM","Seasonal Cycle Score","MeanState","global","score","1","0.880287","40.0"
"Forcings","Precipitation","GPCPv2.3","CARDAMOM","Bias","MeanState","global","scalar","mm d-1","0.0717767","40.0"
"Forcings","Precipitation","GPCPv2.3","CARDAMOM","Bias Score","MeanState","global","score","1","0.767368","40.0"
"Forcings","Precipitation","GPCPv2.3","CARDAMOM","RMSE","MeanState","global","scalar","mm d-1","0.734261","40.0"
"Forcings","Precipitation","GPCPv2.3","CARDAMOM","RMSE Score","MeanState","global","score","1","0.752566","40.0"
"Forcings","Precipitation","GPCPv2.3","CARDAMOM","Overall Score","MeanState","global","score","1","0.82521","40.0"
"Forcings","Precipitation","CMAPv1904","ENSEMBLE-CMIP6","Benchmark Period Mean (intersection)","MeanState","global","scalar","mm d-1","2.16394","40.0"
"Forcings","Precipitation","CMAPv1904","ENSEMBLE-CMIP6","Benchmark Period Mean (complement)","MeanState","global","scalar","mm d-1","nan","40.0"
"Forcings","Precipitation","CMAPv1904","ENSEMBLE-CMIP6","Period Mean (original grids)","MeanState","global","scalar","mm d-1","2.58604","40.0"
"Forcings","Precipitation","CMAPv1904","ENSEMBLE-CMIP6","Model Period Mean (intersection)","MeanState","global","scalar","mm d-1","2.57493","40.0"
"Forcings","Precipitation","CMAPv1904","ENSEMBLE-CMIP6","Model Period Mean (complement)","MeanState","global","scalar","mm d-1","0.606992","40.0"
"Forcings","Precipitation","CMAPv1904","ENSEMBLE-CMIP6","Spatial Distribution Score","MeanState","global","score","1","0.960363","40.0"
"Forcings","Precipitation","CMAPv1904","ENSEMBLE-CMIP6","Phase Shift","MeanState","global","scalar","months","1.18307","40.0"
"Forcings","Precipitation","CMAPv1904","ENSEMBLE-CMIP6","Seasonal Cycle Score","MeanState","global","score","1","0.856447","40.0"
"Forcings","Precipitation","CMAPv1904","ENSEMBLE-CMIP6","Bias","MeanState","global","scalar","mm d-1","0.41077","40.0"
"Forcings","Precipitation","CMAPv1904","ENSEMBLE-CMIP6","Bias Score","MeanState","global","score","1","0.704736","40.0"
"Forcings","Precipitation","CMAPv1904","ENSEMBLE-CMIP6","RMSE","MeanState","global","scalar","mm d-1","1.0304","40.0"
"Forcings","Precipitation","CMAPv1904","ENSEMBLE-CMIP6","RMSE Score","MeanState","global","score","1","0.669554","40.0"
"Forcings","Precipitation","CMAPv1904","ENSEMBLE-CMIP6","Overall Score","MeanState","global","score","1","0.772131","40.0"
"Forcings","Precipitation","CMAPv1904","CARDAMOM","Benchmark Period Mean (intersection)","MeanState","global","scalar","mm d-1","2.0743","40.0"
"Forcings","Precipitation","CMAPv1904","CARDAMOM","Benchmark Period Mean (complement)","MeanState","global","scalar","mm d-1","3.05167","40.0"
"Forcings","Precipitation","CMAPv1904","CARDAMOM","Period Mean (original grids)","MeanState","global","scalar","mm d-1","2.48248","40.0"
"Forcings","Precipitation","CMAPv1904","CARDAMOM","Model Period Mean (intersection)","MeanState","global","scalar","mm d-1","2.44436","40.0"
"Forcings","Precipitation","CMAPv1904","CARDAMOM","Model Period Mean (complement)","MeanState","global","scalar","mm d-1","nan","40.0"
"Forcings","Precipitation","CMAPv1904","CARDAMOM","Spatial Distribution Score","MeanState","global","score","1","0.951026","40.0"
"Forcings","Precipitation","CMAPv1904","CARDAMOM","Phase Shift","MeanState","global","scalar","months","0.82284","40.0"
"Forcings","Precipitation","CMAPv1904","CARDAMOM","Seasonal Cycle Score","MeanState","global","score","1","0.895718","40.0"
"Forcings","Precipitation","CMAPv1904","CARDAMOM","Bias","MeanState","global","scalar","mm d-1","0.369958","40.0"
"Forcings","Precipitation","CMAPv1904","CARDAMOM","Bias Score","MeanState","global","score","1","0.729901","40.0"
"Forcings","Precipitation","CMAPv1904","CARDAMOM","RMSE","MeanState","global","scalar","mm d-1","0.831668","40.0"
"Forcings","Precipitation","CMAPv1904","CARDAMOM","RMSE Score","MeanState","global","score","1","0.739982","40.0"
"Forcings","Precipitation","CMAPv1904","CARDAMOM","Overall Score","MeanState","global","score","1","0.811322","40.0"
"Forcings","Precipitation","CLASS","ENSEMBLE-CMIP6","Benchmark Period Mean (intersection)","MeanState","global","scalar","mm d-1","2.02042","30.0"
"Forcings","Precipitation","CLASS","ENSEMBLE-CMIP6","Benchmark Period Mean (complement)","MeanState","global","scalar","mm d-1","nan","30.0"
"Forcings","Precipitation","CLASS","ENSEMBLE-CMIP6","Period Mean (original grids)","MeanState","global","scalar","mm d-1","2.59797","30.0"
"Forcings","Precipitation","CLASS","ENSEMBLE-CMIP6","Model Period Mean (intersection)","MeanState","global","scalar","mm d-1","2.44782","30.0"
"Forcings","Precipitation","CLASS","ENSEMBLE-CMIP6","Model Period Mean (complement)","MeanState","global","scalar","mm d-1","3.05234","30.0"
"Forcings","Precipitation","CLASS","ENSEMBLE-CMIP6","Spatial Distribution Score","MeanState","global","score","1","0.962769","30.0"
"Forcings","Precipitation","CLASS","ENSEMBLE-CMIP6","Phase Shift","MeanState","global","scalar","months","1.22753","30.0"
"Forcings","Precipitation","CLASS","ENSEMBLE-CMIP6","Seasonal Cycle Score","MeanState","global","score","1","0.862808","30.0"
"Forcings","Precipitation","CLASS","ENSEMBLE-CMIP6","Bias","MeanState","global","scalar","mm d-1","0.427516","30.0"
"Forcings","Precipitation","CLASS","ENSEMBLE-CMIP6","Bias Score","MeanState","global","score","1","0.669001","30.0"
"Forcings","Precipitation","CLASS","ENSEMBLE-CMIP6","RMSE","MeanState","global","scalar","mm d-1","1.0907","30.0"
"Forcings","Precipitation","CLASS","ENSEMBLE-CMIP6","RMSE Score","MeanState","global","score","1","0.621854","30.0"
"Forcings","Precipitation","CLASS","ENSEMBLE-CMIP6","Overall Score","MeanState","global","score","1","0.747657","30.0"
"Forcings","Precipitation","CLASS","CARDAMOM","Benchmark Period Mean (intersection)","MeanState","global","scalar","mm d-1","2.00651","30.0"
"Forcings","Precipitation","CLASS","CARDAMOM","Benchmark Period Mean (complement)","MeanState","global","scalar","mm d-1","3.02321","30.0"
"Forcings","Precipitation","CLASS","CARDAMOM","Period Mean (original grids)","MeanState","global","scalar","mm d-1","2.46391","30.0"
"Forcings","Precipitation","CLASS","CARDAMOM","Model Period Mean (intersection)","MeanState","global","scalar","mm d-1","2.33733","30.0"
"Forcings","Precipitation","CLASS","CARDAMOM","Model Period Mean (complement)","MeanState","global","scalar","mm d-1","2.88482","30.0"
"Forcings","Precipitation","CLASS","CARDAMOM","Spatial Distribution Score","MeanState","global","score","1","0.97032","30.0"
"Forcings","Precipitation","CLASS","CARDAMOM","Phase Shift","MeanState","global","scalar","months","0.859338","30.0"
"Forcings","Precipitation","CLASS","CARDAMOM","Seasonal Cycle Score","MeanState","global","score","1","0.893458","30.0"
"Forcings","Precipitation","CLASS","CARDAMOM","Bias","MeanState","global","scalar","mm d-1","0.330879","30.0"
"Forcings","Precipitation","CLASS","CARDAMOM","Bias Score","MeanState","global","score","1","0.736916","30.0"
"Forcings","Precipitation","CLASS","CARDAMOM","RMSE","MeanState","global","scalar","mm d-1","0.844781","30.0"
"Forcings","Precipitation","CLASS","CARDAMOM","RMSE Score","MeanState","global","score","1","0.693373","30.0"
"Forcings","Precipitation","CLASS","CARDAMOM","Overall Score","MeanState","global","score","1","0.797488","30.0"
"Forcings","SurfaceAirTemperature","CRU4.02","ENSEMBLE-CMIP6","Benchmark Period Mean (intersection)","MeanState","global","scalar","K","286.794","50.0"
"Forcings","SurfaceAirTemperature","CRU4.02","ENSEMBLE-CMIP6","Benchmark Period Mean (complement)","MeanState","global","scalar","K","nan","50.0"
"Forcings","SurfaceAirTemperature","CRU4.02","ENSEMBLE-CMIP6","Period Mean (original grids)","MeanState","global","scalar","K","287.188","50.0"
"Forcings","SurfaceAirTemperature","CRU4.02","ENSEMBLE-CMIP6","Model Period Mean (intersection)","MeanState","global","scalar","K","286.81","50.0"
"Forcings","SurfaceAirTemperature","CRU4.02","ENSEMBLE-CMIP6","Model Period Mean (complement)","MeanState","global","scalar","K","290.411","50.0"
"Forcings","SurfaceAirTemperature","CRU4.02","ENSEMBLE-CMIP6","Spatial Distribution Score","MeanState","global","score","1","0.999637","50.0"
"Forcings","SurfaceAirTemperature","CRU4.02","ENSEMBLE-CMIP6","Phase Shift","MeanState","global","scalar","months","0.401255","50.0"
"Forcings","SurfaceAirTemperature","CRU4.02","ENSEMBLE-CMIP6","Seasonal Cycle Score","MeanState","global","score","1","0.957243","50.0"
"Forcings","SurfaceAirTemperature","CRU4.02","ENSEMBLE-CMIP6","Bias","MeanState","global","scalar","K","0.0182033","50.0"
"Forcings","SurfaceAirTemperature","CRU4.02","ENSEMBLE-CMIP6","Bias Score","MeanState","global","score","1","0.751022","50.0"
"Forcings","SurfaceAirTemperature","CRU4.02","ENSEMBLE-CMIP6","RMSE","MeanState","global","scalar","K","1.90852","50.0"
"Forcings","SurfaceAirTemperature","CRU4.02","ENSEMBLE-CMIP6","RMSE Score","MeanState","global","score","1","0.787597","50.0"
"Forcings","SurfaceAirTemperature","CRU4.02","ENSEMBLE-CMIP6","Overall Score","MeanState","global","score","1","0.856619","50.0"
"Forcings","SurfaceAirTemperature","CRU4.02","CARDAMOM","Benchmark Period Mean (intersection)","MeanState","global","scalar","K","287.493","50.0"
"Forcings","SurfaceAirTemperature","CRU4.02","CARDAMOM","Benchmark Period Mean (complement)","MeanState","global","scalar","K","281.283","50.0"
"Forcings","SurfaceAirTemperature","CRU4.02","CARDAMOM","Period Mean (original grids)","MeanState","global","scalar","K","287.508","50.0"
"Forcings","SurfaceAirTemperature","CRU4.02","CARDAMOM","Model Period Mean (intersection)","MeanState","global","scalar","K","287.312","50.0"
"Forcings","SurfaceAirTemperature","CRU4.02","CARDAMOM","Model Period Mean (complement)","MeanState","global","scalar","K","288.261","50.0"
"Forcings","SurfaceAirTemperature","CRU4.02","CARDAMOM","Spatial Distribution Score","MeanState","global","score","1","0.998464","50.0"
"Forcings","SurfaceAirTemperature","CRU4.02","CARDAMOM","Phase Shift","MeanState","global","scalar","months","0.370565","50.0"
"Forcings","SurfaceAirTemperature","CRU4.02","CARDAMOM","Seasonal Cycle Score","MeanState","global","score","1","0.958232","50.0"
"Forcings","SurfaceAirTemperature","CRU4.02","CARDAMOM","Bias","MeanState","global","scalar","K","-0.181472","50.0"
"Forcings","SurfaceAirTemperature","CRU4.02","CARDAMOM","Bias Score","MeanState","global","score","1","0.726059","50.0"
"Forcings","SurfaceAirTemperature","CRU4.02","CARDAMOM","RMSE","MeanState","global","scalar","K","1.90776","50.0"
"Forcings","SurfaceAirTemperature","CRU4.02","CARDAMOM","RMSE Score","MeanState","global","score","1","0.81782","50.0"
"Forcings","SurfaceAirTemperature","CRU4.02","CARDAMOM","Overall Score","MeanState","global","score","1","0.863679","50.0"
"Forcings","SurfaceAirTemperature","ERA5","CARDAMOM","Benchmark Period Mean (intersection)","MeanState","global","scalar","K","287.642","50.0"
"Forcings","SurfaceAirTemperature","ERA5","CARDAMOM","Benchmark Period Mean (complement)","MeanState","global","scalar","K","284.76","50.0"
"Forcings","SurfaceAirTemperature","ERA5","CARDAMOM","Period Mean (original grids)","MeanState","global","scalar","K","287.579","50.0"
"Forcings","SurfaceAirTemperature","ERA5","CARDAMOM","Model Period Mean (intersection)","MeanState","global","scalar","K","287.395","50.0"
"Forcings","SurfaceAirTemperature","ERA5","CARDAMOM","Model Period Mean (complement)","MeanState","global","scalar","K","nan","50.0"
"Forcings","SurfaceAirTemperature","ERA5","CARDAMOM","Spatial Distribution Score","MeanState","global","score","1","0.999702","50.0"
"Forcings","SurfaceAirTemperature","ERA5","CARDAMOM","Phase Shift","MeanState","global","scalar","months","0.366065","50.0"
"Forcings","SurfaceAirTemperature","ERA5","CARDAMOM","Seasonal Cycle Score","MeanState","global","score","1","0.957988","50.0"
"Forcings","SurfaceAirTemperature","ERA5","CARDAMOM","Bias","MeanState","global","scalar","K","-0.250955","50.0"
"Forcings","SurfaceAirTemperature","ERA5","CARDAMOM","Bias Score","MeanState","global","score","1","0.72921","50.0"
"Forcings","SurfaceAirTemperature","ERA5","CARDAMOM","RMSE","MeanState","global","scalar","K","1.9683","50.0"
"Forcings","SurfaceAirTemperature","ERA5","CARDAMOM","RMSE Score","MeanState","global","score","1","0.828085","50.0"
"Forcings","SurfaceAirTemperature","ERA5","CARDAMOM","Overall Score","MeanState","global","score","1","0.868614","50.0"
"Forcings","SurfaceAirTemperature","ERA5","ENSEMBLE-CMIP6","Benchmark Period Mean (intersection)","MeanState","global","scalar","K","286.931","50.0"
"Forcings","SurfaceAirTemperature","ERA5","ENSEMBLE-CMIP6","Benchmark Period Mean (complement)","MeanState","global","scalar","K","nan","50.0"
"Forcings","SurfaceAirTemperature","ERA5","ENSEMBLE-CMIP6","Period Mean (original grids)","MeanState","global","scalar","K","287.172","50.0"
"Forcings","SurfaceAirTemperature","ERA5","ENSEMBLE-CMIP6","Model Period Mean (intersection)","MeanState","global","scalar","K","287.039","50.0"
"Forcings","SurfaceAirTemperature","ERA5","ENSEMBLE-CMIP6","Model Period Mean (complement)","MeanState","global","scalar","K","nan","50.0"
"Forcings","SurfaceAirTemperature","ERA5","ENSEMBLE-CMIP6","Spatial Distribution Score","MeanState","global","score","1","0.999924","50.0"
"Forcings","SurfaceAirTemperature","ERA5","ENSEMBLE-CMIP6","Phase Shift","MeanState","global","scalar","months","0.435164","50.0"
"Forcings","SurfaceAirTemperature","ERA5","ENSEMBLE-CMIP6","Seasonal Cycle Score","MeanState","global","score","1","0.9528","50.0"
"Forcings","SurfaceAirTemperature","ERA5","ENSEMBLE-CMIP6","Bias","MeanState","global","scalar","K","0.12259","50.0"
"Forcings","SurfaceAirTemperature","ERA5","ENSEMBLE-CMIP6","Bias Score","MeanState","global","score","1","0.739744","50.0"
"Forcings","SurfaceAirTemperature","ERA5","ENSEMBLE-CMIP6","RMSE","MeanState","global","scalar","K","1.83456","50.0"
"Forcings","SurfaceAirTemperature","ERA5","ENSEMBLE-CMIP6","RMSE Score","MeanState","global","score","1","0.791693","50.0"
"Forcings","SurfaceAirTemperature","ERA5","ENSEMBLE-CMIP6","Overall Score","MeanState","global","score","1","0.855171","50.0"
"Forcings","SurfaceDownwardLWRadiation","ERA5","CARDAMOM","Benchmark Period Mean (intersection)","MeanState","global","scalar","W m-2","325.692","15.0"
"Forcings","SurfaceDownwardLWRadiation","ERA5","CARDAMOM","Benchmark Period Mean (complement)","MeanState","global","scalar","W m-2","330.724","15.0"
"Forcings","SurfaceDownwardLWRadiation","ERA5","CARDAMOM","Period Mean (original grids)","MeanState","global","scalar","W m-2","325.703","15.0"
"Forcings","SurfaceDownwardLWRadiation","ERA5","CARDAMOM","Model Period Mean (intersection)","MeanState","global","scalar","W m-2","324.557","15.0"
"Forcings","SurfaceDownwardLWRadiation","ERA5","CARDAMOM","Model Period Mean (complement)","MeanState","global","scalar","W m-2","nan","15.0"
"Forcings","SurfaceDownwardLWRadiation","ERA5","CARDAMOM","Spatial Distribution Score","MeanState","global","score","1","0.998644","15.0"
"Forcings","SurfaceDownwardLWRadiation","ERA5","CARDAMOM","Phase Shift","MeanState","global","scalar","months","0.24256","15.0"
"Forcings","SurfaceDownwardLWRadiation","ERA5","CARDAMOM","Seasonal Cycle Score","MeanState","global","score","1","0.973113","15.0"
"Forcings","SurfaceDownwardLWRadiation","ERA5","CARDAMOM","Bias","MeanState","global","scalar","W m-2","-1.16377","15.0"
"Forcings","SurfaceDownwardLWRadiation","ERA5","CARDAMOM","Bias Score","MeanState","global","score","1","0.762497","15.0"
"Forcings","SurfaceDownwardLWRadiation","ERA5","CARDAMOM","RMSE","MeanState","global","scalar","W m-2","9.40295","15.0"
"Forcings","SurfaceDownwardLWRadiation","ERA5","CARDAMOM","RMSE Score","MeanState","global","score","1","0.885664","15.0"
"Forcings","SurfaceDownwardLWRadiation","ERA5","CARDAMOM","Overall Score","MeanState","global","score","1","0.901117","15.0"
"Forcings","SurfaceDownwardLWRadiation","ERA5","ENSEMBLE-CMIP6","Benchmark Period Mean (intersection)","MeanState","global","scalar","W m-2","324.587","15.0"
"Forcings","SurfaceDownwardLWRadiation","ERA5","ENSEMBLE-CMIP6","Benchmark Period Mean (complement)","MeanState","global","scalar","W m-2","nan","15.0"
"Forcings","SurfaceDownwardLWRadiation","ERA5","ENSEMBLE-CMIP6","Period Mean (original grids)","MeanState","global","scalar","W m-2","329.046","15.0"
"Forcings","SurfaceDownwardLWRadiation","ERA5","ENSEMBLE-CMIP6","Model Period Mean (intersection)","MeanState","global","scalar","W m-2","328.549","15.0"
"Forcings","SurfaceDownwardLWRadiation","ERA5","ENSEMBLE-CMIP6","Model Period Mean (complement)","MeanState","global","scalar","W m-2","nan","15.0"
"Forcings","SurfaceDownwardLWRadiation","ERA5","ENSEMBLE-CMIP6","Spatial Distribution Score","MeanState","global","score","1","0.997996","15.0"
"Forcings","SurfaceDownwardLWRadiation","ERA5","ENSEMBLE-CMIP6","Phase Shift","MeanState","global","scalar","months","0.429102","15.0"
"Forcings","SurfaceDownwardLWRadiation","ERA5","ENSEMBLE-CMIP6","Seasonal Cycle Score","MeanState","global","score","1","0.954124","15.0"
"Forcings","SurfaceDownwardLWRadiation","ERA5","ENSEMBLE-CMIP6","Bias","MeanState","global","scalar","W m-2","4.0231","15.0"
"Forcings","SurfaceDownwardLWRadiation","ERA5","ENSEMBLE-CMIP6","Bias Score","MeanState","global","score","1","0.756886","15.0"
"Forcings","SurfaceDownwardLWRadiation","ERA5","ENSEMBLE-CMIP6","RMSE","MeanState","global","scalar","W m-2","10.2638","15.0"
"Forcings","SurfaceDownwardLWRadiation","ERA5","ENSEMBLE-CMIP6","RMSE Score","MeanState","global","score","1","0.814381","15.0"
"Forcings","SurfaceDownwardLWRadiation","ERA5","ENSEMBLE-CMIP6","Overall Score","MeanState","global","score","1","0.867553","15.0"
"Forcings","SurfaceDownwardLWRadiation","WRMC.BSRN","ENSEMBLE-CMIP6","Period Mean (original grids)","MeanState","global","scalar","Watt m-2","309.896","12.0"
