Section,Variable,Source,Model,ScalarName,AnalysisType,Region,ScalarType,Units,Data
Forcings,SurfaceDownwardSWRadiation,CERESed4.1,ELM_FUNP,Bias Score,MeanState,global,score,1,0.847026
Forcings,SurfaceDownwardSWRadiation,CERESed4.1,ELM_FUNP,RMSE,MeanState,global,scalar,W m-2,14.3421
Forcings,SurfaceDownwardSWRadiation,CERESed4.1,ELM_FUNP,RMSE Score,MeanState,global,score,1,0.820898
Forcings,SurfaceDownwardSWRadiation,CERESed4.1,ELM_FUNP,Overall Score,MeanState,global,score,1,0.888345
Forcings,SurfaceDownwardSWRadiation,FLUXNET2015,ELM_FUN,Period Mean (original grids),MeanState,global,scalar,W m-2,166.427
Forcings,SurfaceDownwardSWRadiation,FLUXNET2015,ELM_FUN,Bias,MeanState,global,scalar,W m-2,0.602428
Forcings,SurfaceDownwardSWRadiation,FLUXNET2015,ELM_FUN,Bias Score,MeanState,global,score,1,0.750137
Forcings,SurfaceDownwardSWRadiation,FLUXNET2015,ELM_FUN,Phase Shift,MeanState,global,scalar,months,0.374425
Forcings,SurfaceDownwardSWRadiation,FLUXNET2015,ELM_FUN,Seasonal Cycle Score,MeanState,global,score,1,0.968334
Forcings,SurfaceDownwardSWRadiation,FLUXNET2015,ELM_FUN,RMSE,MeanState,global,scalar,W m-2,19.9782
Forcings,SurfaceDownwardSWRadiation,FLUXNET2015,ELM_FUN,RMSE Score,MeanState,global,score,1,0.780262
Forcings,SurfaceDownwardSWRadiation,FLUXNET2015,ELM_FUN,Overall Score,MeanState,global,score,1,0.819749
Forcings,SurfaceDownwardSWRadiation,FLUXNET2015,ELM_FUNP,Period Mean (original grids),MeanState,global,scalar,W m-2,166.427
Forcings,SurfaceDownwardSWRadiation,FLUXNET2015,ELM_FUNP,Bias,MeanState,global,scalar,W m-2,0.602428
Forcings,SurfaceDownwardSWRadiation,FLUXNET2015,ELM_FUNP,Bias Score,MeanState,global,score,1,0.750137
Forcings,SurfaceDownwardSWRadiation,FLUXNET2015,ELM_FUNP,Phase Shift,MeanState,global,scalar,months,0.374425
Forcings,SurfaceDownwardSWRadiation,FLUXNET2015,ELM_FUNP,Seasonal Cycle Score,MeanState,global,score,1,0.968334
Forcings,SurfaceDownwardSWRadiation,FLUXNET2015,ELM_FUNP,RMSE,MeanState,global,scalar,W m-2,19.9782
Forcings,SurfaceDownwardSWRadiation,FLUXNET2015,ELM_FUNP,RMSE Score,MeanState,global,score,1,0.780262
Forcings,SurfaceDownwardSWRadiation,FLUXNET2015,ELM_FUNP,Overall Score,MeanState,global,score,1,0.819749
Forcings,SurfaceDownwardSWRadiation,FLUXNET2015,ELM,Period Mean (original grids),MeanState,global,scalar,W m-2,166.427
Forcings,SurfaceDownwardSWRadiation,FLUXNET2015,ELM,Bias,MeanState,global,scalar,W m-2,0.602428
Forcings,SurfaceDownwardSWRadiation,FLUXNET2015,ELM,Bias Score,MeanState,global,score,1,0.750137
Forcings,SurfaceDownwardSWRadiation,FLUXNET2015,ELM,Phase Shift,MeanState,global,scalar,months,0.374425
Forcings,SurfaceDownwardSWRadiation,FLUXNET2015,ELM,Seasonal Cycle Score,MeanState,global,score,1,0.968334
Forcings,SurfaceDownwardSWRadiation,FLUXNET2015,ELM,RMSE,MeanState,global,scalar,W m-2,19.9782
Forcings,SurfaceDownwardSWRadiation,FLUXNET2015,ELM,RMSE Score,MeanState,global,score,1,0.780262
Forcings,SurfaceDownwardSWRadiation,FLUXNET2015,ELM,Overall Score,MeanState,global,score,1,0.819749
Forcings,SurfaceDownwardSWRadiation,GEWEX.SRB,ELM,Benchmark Period Mean (intersection),MeanState,global,scalar,Watt m-2,186.576
Forcings,SurfaceDownwardSWRadiation,GEWEX.SRB,ELM,Benchmark Period Mean (complement),MeanState,global,scalar,Watt m-2,195.502
Forcings,SurfaceDownwardSWRadiation,GEWEX.SRB,ELM,Period Mean (original grids),MeanState,global,scalar,Watt m-2,182.556
Forcings,SurfaceDownwardSWRadiation,GEWEX.SRB,ELM,Model Period Mean (intersection),MeanState,global,scalar,Watt m-2,182.471
Forcings,SurfaceDownwardSWRadiation,GEWEX.SRB,ELM,Model Period Mean (complement),MeanState,global,scalar,Watt m-2,nan
Forcings,SurfaceDownwardSWRadiation,GEWEX.SRB,ELM,Spatial Distribution Score,MeanState,global,score,1,0.985275
Forcings,SurfaceDownwardSWRadiation,GEWEX.SRB,ELM,Phase Shift,MeanState,global,scalar,months,0.185549
Forcings,SurfaceDownwardSWRadiation,GEWEX.SRB,ELM,Seasonal Cycle Score,MeanState,global,score,1,0.979907
Forcings,SurfaceDownwardSWRadiation,GEWEX.SRB,ELM,Bias,MeanState,global,scalar,Watt m-2,-4.08634
Forcings,SurfaceDownwardSWRadiation,GEWEX.SRB,ELM,Bias Score,MeanState,global,score,1,0.886517
Forcings,SurfaceDownwardSWRadiation,GEWEX.SRB,ELM,RMSE,MeanState,global,scalar,Watt m-2,6.15223
Forcings,SurfaceDownwardSWRadiation,GEWEX.SRB,ELM,RMSE Score,MeanState,global,score,1,0.894215
Forcings,SurfaceDownwardSWRadiation,GEWEX.SRB,ELM,Overall Score,MeanState,global,score,1,0.928026
Forcings,SurfaceDownwardSWRadiation,GEWEX.SRB,ELM_FUNP,Benchmark Period Mean (intersection),MeanState,global,scalar,Watt m-2,186.576
Forcings,SurfaceDownwardSWRadiation,GEWEX.SRB,ELM_FUNP,Benchmark Period Mean (complement),MeanState,global,scalar,Watt m-2,195.502
Forcings,SurfaceDownwardSWRadiation,GEWEX.SRB,ELM_FUNP,Period Mean (original grids),MeanState,global,scalar,Watt m-2,182.556
Forcings,SurfaceDownwardSWRadiation,GEWEX.SRB,ELM_FUNP,Model Period Mean (intersection),MeanState,global,scalar,Watt m-2,182.471
Forcings,SurfaceDownwardSWRadiation,GEWEX.SRB,ELM_FUNP,Model Period Mean (complement),MeanState,global,scalar,Watt m-2,nan
Forcings,SurfaceDownwardSWRadiation,GEWEX.SRB,ELM_FUNP,Spatial Distribution Score,MeanState,global,score,1,0.985275
Forcings,SurfaceDownwardSWRadiation,GEWEX.SRB,ELM_FUNP,Phase Shift,MeanState,global,scalar,months,0.185549
Forcings,SurfaceDownwardSWRadiation,GEWEX.SRB,ELM_FUNP,Seasonal Cycle Score,MeanState,global,score,1,0.979907
Forcings,SurfaceDownwardSWRadiation,GEWEX.SRB,ELM_FUNP,Bias,MeanState,global,scalar,Watt m-2,-4.08634
Forcings,SurfaceDownwardSWRadiation,GEWEX.SRB,ELM_FUNP,Bias Score,MeanState,global,score,1,0.886517
Forcings,SurfaceDownwardSWRadiation,GEWEX.SRB,ELM_FUNP,RMSE,MeanState,global,scalar,Watt m-2,6.15223
Forcings,SurfaceDownwardSWRadiation,GEWEX.SRB,ELM_FUNP,RMSE Score,MeanState,global,score,1,0.894215
Forcings,SurfaceDownwardSWRadiation,GEWEX.SRB,ELM_FUNP,Overall Score,MeanState,global,score,1,0.928026
Forcings,SurfaceDownwardSWRadiation,GEWEX.SRB,ELM_FUN,Benchmark Period Mean (intersection),MeanState,global,scalar,Watt m-2,186.576
Forcings,SurfaceDownwardSWRadiation,GEWEX.SRB,ELM_FUN,Benchmark Period Mean (complement),MeanState,global,scalar,Watt m-2,195.502
Forcings,SurfaceDownwardSWRadiation,GEWEX.SRB,ELM_FUN,Period Mean (original grids),MeanState,global,scalar,Watt m-2,182.556
Forcings,SurfaceDownwardSWRadiation,GEWEX.SRB,ELM_FUN,Model Period Mean (intersection),MeanState,global,scalar,Watt m-2,182.471
Forcings,SurfaceDownwardSWRadiation,GEWEX.SRB,ELM_FUN,Model Period Mean (complement),MeanState,global,scalar,Watt m-2,nan
Forcings,SurfaceDownwardSWRadiation,GEWEX.SRB,ELM_FUN,Spatial Distribution Score,MeanState,global,score,1,0.985275
Forcings,SurfaceDownwardSWRadiation,GEWEX.SRB,ELM_FUN,Phase Shift,MeanState,global,scalar,months,0.185549
Forcings,SurfaceDownwardSWRadiation,GEWEX.SRB,ELM_FUN,Seasonal Cycle Score,MeanState,global,score,1,0.979907
Forcings,SurfaceDownwardSWRadiation,GEWEX.SRB,ELM_FUN,Bias,MeanState,global,scalar,Watt m-2,-4.08634
Forcings,SurfaceDownwardSWRadiation,GEWEX.SRB,ELM_FUN,Bias Score,MeanState,global,score,1,0.886517
Forcings,SurfaceDownwardSWRadiation,GEWEX.SRB,ELM_FUN,RMSE,MeanState,global,scalar,Watt m-2,6.15223
Forcings,SurfaceDownwardSWRadiation,GEWEX.SRB,ELM_FUN,RMSE Score,MeanState,global,score,1,0.894215
Forcings,SurfaceDownwardSWRadiation,GEWEX.SRB,ELM_FUN,Overall Score,MeanState,global,score,1,0.928026
Forcings,SurfaceAirTemperature,CRU4.02,ELM,Benchmark Period Mean (intersection),MeanState,global,scalar,K,286.707
Forcings,SurfaceAirTemperature,CRU4.02,ELM,Benchmark Period Mean (complement),MeanState,global,scalar,K,289.558
Forcings,SurfaceAirTemperature,CRU4.02,ELM,Period Mean (original grids),MeanState,global,scalar,K,282.99
Forcings,SurfaceAirTemperature,CRU4.02,ELM,Model Period Mean (intersection),MeanState,global,scalar,K,286.542
Forcings,SurfaceAirTemperature,CRU4.02,ELM,Model Period Mean (complement),MeanState,global,scalar,K,262.442
Forcings,SurfaceAirTemperature,CRU4.02,ELM,Spatial Distribution Score,MeanState,global,score,1,0.999777
Forcings,SurfaceAirTemperature,CRU4.02,ELM,Phase Shift,MeanState,global,scalar,months,0.226185
Forcings,SurfaceAirTemperature,CRU4.02,ELM,Seasonal Cycle Score,MeanState,global,score,1,0.975931
Forcings,SurfaceAirTemperature,CRU4.02,ELM,Bias,MeanState,global,scalar,K,-0.160793
Forcings,SurfaceAirTemperature,CRU4.02,ELM,Bias Score,MeanState,global,score,1,0.779931
Forcings,SurfaceAirTemperature,CRU4.02,ELM,RMSE,MeanState,global,scalar,K,1.36599
Forcings,SurfaceAirTemperature,CRU4.02,ELM,RMSE Score,MeanState,global,score,1,0.872702
Forcings,SurfaceAirTemperature,CRU4.02,ELM,Overall Score,MeanState,global,score,1,0.900209
Forcings,SurfaceAirTemperature,CRU4.02,ELM_FUN,Benchmark Period Mean (intersection),MeanState,global,scalar,K,286.707
Forcings,SurfaceAirTemperature,CRU4.02,ELM_FUN,Benchmark Period Mean (complement),MeanState,global,scalar,K,289.558
Forcings,SurfaceAirTemperature,CRU4.02,ELM_FUN,Period Mean (original grids),MeanState,global,scalar,K,283.012
Forcings,SurfaceAirTemperature,CRU4.02,ELM_FUN,Model Period Mean (intersection),MeanState,global,scalar,K,286.566
Forcings,SurfaceAirTemperature,CRU4.02,ELM_FUN,Model Period Mean (complement),MeanState,global,scalar,K,262.451
Forcings,SurfaceAirTemperature,CRU4.02,ELM_FUN,Spatial Distribution Score,MeanState,global,score,1,0.999761
Forcings,SurfaceAirTemperature,CRU4.02,ELM_FUN,Phase Shift,MeanState,global,scalar,months,0.224918
Forcings,SurfaceAirTemperature,CRU4.02,ELM_FUN,Seasonal Cycle Score,MeanState,global,score,1,0.976106
Forcings,SurfaceAirTemperature,CRU4.02,ELM_FUN,Bias,MeanState,global,scalar,K,-0.136912
Forcings,SurfaceAirTemperature,CRU4.02,ELM_FUN,Bias Score,MeanState,global,score,1,0.783536
Forcings,SurfaceAirTemperature,CRU4.02,ELM_FUN,RMSE,MeanState,global,scalar,K,1.35901
Forcings,SurfaceAirTemperature,CRU4.02,ELM_FUN,RMSE Score,MeanState,global,score,1,0.872814
Forcings,SurfaceAirTemperature,CRU4.02,ELM_FUN,Overall Score,MeanState,global,score,1,0.901006
Forcings,SurfaceAirTemperature,CRU4.02,ELM_FUNP,Benchmark Period Mean (intersection),MeanState,global,scalar,K,286.707
Forcings,SurfaceAirTemperature,CRU4.02,ELM_FUNP,Benchmark Period Mean (complement),MeanState,global,scalar,K,289.558
Forcings,SurfaceAirTemperature,CRU4.02,ELM_FUNP,Period Mean (original grids),MeanState,global,scalar,K,283.093
Forcings,SurfaceAirTemperature,CRU4.02,ELM_FUNP,Model Period Mean (intersection),MeanState,global,scalar,K,286.657
Forcings,SurfaceAirTemperature,CRU4.02,ELM_FUNP,Model Period Mean (complement),MeanState,global,scalar,K,262.475
Forcings,SurfaceAirTemperature,CRU4.02,ELM_FUNP,Spatial Distribution Score,MeanState,global,score,1,0.999699
Forcings,SurfaceAirTemperature,CRU4.02,ELM_FUNP,Phase Shift,MeanState,global,scalar,months,0.217841
Forcings,SurfaceAirTemperature,CRU4.02,ELM_FUNP,Seasonal Cycle Score,MeanState,global,score,1,0.976957
Forcings,SurfaceAirTemperature,CRU4.02,ELM_FUNP,Bias,MeanState,global,scalar,K,-0.0454541
Forcings,SurfaceAirTemperature,CRU4.02,ELM_FUNP,Bias Score,MeanState,global,score,1,0.790141
Forcings,SurfaceAirTemperature,CRU4.02,ELM_FUNP,RMSE,MeanState,global,scalar,K,1.34666
Forcings,SurfaceAirTemperature,CRU4.02,ELM_FUNP,RMSE Score,MeanState,global,score,1,0.875613
Forcings,SurfaceAirTemperature,CRU4.02,ELM_FUNP,Overall Score,MeanState,global,score,1,0.903605
Forcings,SurfaceAirTemperature,FLUXNET2015,ELM_FUN,Period Mean (original grids),MeanState,global,scalar,degC,10.0445
Forcings,SurfaceAirTemperature,FLUXNET2015,ELM_FUN,Bias,MeanState,global,scalar,degC,-0.0888211
Forcings,SurfaceAirTemperature,FLUXNET2015,ELM_FUN,Bias Score,MeanState,global,score,1,0.793573
Forcings,SurfaceAirTemperature,FLUXNET2015,ELM_FUN,Phase Shift,MeanState,global,scalar,months,0.240421
Forcings,SurfaceAirTemperature,FLUXNET2015,ELM_FUN,Seasonal Cycle Score,MeanState,global,score,1,0.979222
Forcings,SurfaceAirTemperature,FLUXNET2015,ELM_FUN,RMSE,MeanState,global,scalar,degC,2.17259
Forcings,SurfaceAirTemperature,FLUXNET2015,ELM_FUN,RMSE Score,MeanState,global,score,1,0.834149
Forcings,SurfaceAirTemperature,FLUXNET2015,ELM_FUN,Overall Score,MeanState,global,score,1,0.860273
Forcings,SurfaceAirTemperature,FLUXNET2015,ELM_FUNP,Period Mean (original grids),MeanState,global,scalar,degC,10.148
Forcings,SurfaceAirTemperature,FLUXNET2015,ELM_FUNP,Bias,MeanState,global,scalar,degC,0.0142161
Forcings,SurfaceAirTemperature,FLUXNET2015,ELM_FUNP,Bias Score,MeanState,global,score,1,0.792464
Forcings,SurfaceAirTemperature,FLUXNET2015,ELM_FUNP,Phase Shift,MeanState,global,scalar,months,0.240421
Forcings,SurfaceAirTemperature,FLUXNET2015,ELM_FUNP,Seasonal Cycle Score,MeanState,global,score,1,0.979222
Forcings,SurfaceAirTemperature,FLUXNET2015,ELM_FUNP,RMSE,MeanState,global,scalar,degC,2.17785
Forcings,SurfaceAirTemperature,FLUXNET2015,ELM_FUNP,RMSE Score,MeanState,global,score,1,0.833573
Forcings,SurfaceAirTemperature,FLUXNET2015,ELM_FUNP,Overall Score,MeanState,global,score,1,0.859708
Forcings,SurfaceAirTemperature,FLUXNET2015,ELM,Period Mean (original grids),MeanState,global,scalar,degC,10.0091
