"Section","Variable","Source","Model","ScalarName","AnalysisType","Region","ScalarType","Units","Data","Weight"
"Forcings","SurfaceDownwardLWRadiation","WRMC.BSRN","E3SM","RMSE","MeanState","global","scalar","Watt m-2","16.636","12.0"
"Forcings","SurfaceDownwardLWRadiation","WRMC.BSRN","E3SM","RMSE Score","MeanState","global","score","1","0.68804","12.0"
"Forcings","SurfaceDownwardLWRadiation","WRMC.BSRN","E3SM","Overall Score","MeanState","global","score","1","0.751154","12.0"
"Forcings","SurfaceDownwardLWRadiation","WRMC.BSRN","E3SM-FUN3.0","Period Mean (original grids)","MeanState","global","scalar","Watt m-2","307.34","12.0"
"Forcings","SurfaceDownwardLWRadiation","WRMC.BSRN","E3SM-FUN3.0","Bias","MeanState","global","scalar","Watt m-2","-4.28916","12.0"
"Forcings","SurfaceDownwardLWRadiation","WRMC.BSRN","E3SM-FUN3.0","Bias Score","MeanState","global","score","1","0.668335","12.0"
"Forcings","SurfaceDownwardLWRadiation","WRMC.BSRN","E3SM-FUN3.0","Phase Shift","MeanState","global","scalar","months","0.404825","12.0"
"Forcings","SurfaceDownwardLWRadiation","WRMC.BSRN","E3SM-FUN3.0","Seasonal Cycle Score","MeanState","global","score","1","0.960203","12.0"
"Forcings","SurfaceDownwardLWRadiation","WRMC.BSRN","E3SM-FUN3.0","RMSE","MeanState","global","scalar","Watt m-2","16.636","12.0"
"Forcings","SurfaceDownwardLWRadiation","WRMC.BSRN","E3SM-FUN3.0","RMSE Score","MeanState","global","score","1","0.68804","12.0"
"Forcings","SurfaceDownwardLWRadiation","WRMC.BSRN","E3SM-FUN3.0","Overall Score","MeanState","global","score","1","0.751154","12.0"
"Forcings","SurfaceDownwardLWRadiation","WRMC.BSRN","E3SM-FUN2.0","Period Mean (original grids)","MeanState","global","scalar","Watt m-2","307.34","12.0"
"Forcings","SurfaceDownwardLWRadiation","WRMC.BSRN","E3SM-FUN2.0","Bias","MeanState","global","scalar","Watt m-2","-4.28916","12.0"
"Forcings","SurfaceDownwardLWRadiation","WRMC.BSRN","E3SM-FUN2.0","Bias Score","MeanState","global","score","1","0.668335","12.0"
"Forcings","SurfaceDownwardLWRadiation","WRMC.BSRN","E3SM-FUN2.0","Phase Shift","MeanState","global","scalar","months","0.404825","12.0"
"Forcings","SurfaceDownwardLWRadiation","WRMC.BSRN","E3SM-FUN2.0","Seasonal Cycle Score","MeanState","global","score","1","0.960203","12.0"
"Forcings","SurfaceDownwardLWRadiation","WRMC.BSRN","E3SM-FUN2.0","RMSE","MeanState","global","scalar","Watt m-2","16.636","12.0"
"Forcings","SurfaceDownwardLWRadiation","WRMC.BSRN","E3SM-FUN2.0","RMSE Score","MeanState","global","score","1","0.68804","12.0"
"Forcings","SurfaceDownwardLWRadiation","WRMC.BSRN","E3SM-FUN2.0","Overall Score","MeanState","global","score","1","0.751154","12.0"
"Forcings","SurfaceDownwardLWRadiation","GEWEX.SRB","E3SM","Benchmark Period Mean (intersection)","MeanState","global","scalar","Watt m-2","312.362","15.0"
"Forcings","SurfaceDownwardLWRadiation","GEWEX.SRB","E3SM","Benchmark Period Mean (complement)","MeanState","global","scalar","Watt m-2","353.696","15.0"
"Forcings","SurfaceDownwardLWRadiation","GEWEX.SRB","E3SM","Period Mean (original grids)","MeanState","global","scalar","Watt m-2","313.1","15.0"
"Forcings","SurfaceDownwardLWRadiation","GEWEX.SRB","E3SM","Model Period Mean (intersection)","MeanState","global","scalar","Watt m-2","312.453","15.0"
"Forcings","SurfaceDownwardLWRadiation","GEWEX.SRB","E3SM","Model Period Mean (complement)","MeanState","global","scalar","Watt m-2","nan","15.0"
"Forcings","SurfaceDownwardLWRadiation","GEWEX.SRB","E3SM","Spatial Distribution Score","MeanState","global","score","1","0.999756","15.0"
"Forcings","SurfaceDownwardLWRadiation","GEWEX.SRB","E3SM","Phase Shift","MeanState","global","scalar","months","0.156823","15.0"
"Forcings","SurfaceDownwardLWRadiation","GEWEX.SRB","E3SM","Seasonal Cycle Score","MeanState","global","score","1","0.982497","15.0"
"Forcings","SurfaceDownwardLWRadiation","GEWEX.SRB","E3SM","Bias","MeanState","global","scalar","Watt m-2","0.113693","15.0"
"Forcings","SurfaceDownwardLWRadiation","GEWEX.SRB","E3SM","Bias Score","MeanState","global","score","1","0.857475","15.0"
"Forcings","SurfaceDownwardLWRadiation","GEWEX.SRB","E3SM","RMSE","MeanState","global","scalar","Watt m-2","4.55325","15.0"
"Forcings","SurfaceDownwardLWRadiation","GEWEX.SRB","E3SM","RMSE Score","MeanState","global","score","1","0.92819","15.0"
"Forcings","SurfaceDownwardLWRadiation","GEWEX.SRB","E3SM","Overall Score","MeanState","global","score","1","0.939222","15.0"
"Forcings","SurfaceDownwardLWRadiation","GEWEX.SRB","E3SM-FUN3.0","Benchmark Period Mean (intersection)","MeanState","global","scalar","Watt m-2","312.362","15.0"
"Forcings","SurfaceDownwardLWRadiation","GEWEX.SRB","E3SM-FUN3.0","Benchmark Period Mean (complement)","MeanState","global","scalar","Watt m-2","353.696","15.0"
"Forcings","SurfaceDownwardLWRadiation","GEWEX.SRB","E3SM-FUN3.0","Period Mean (original grids)","MeanState","global","scalar","Watt m-2","313.1","15.0"
"Forcings","SurfaceDownwardLWRadiation","GEWEX.SRB","E3SM-FUN3.0","Model Period Mean (intersection)","MeanState","global","scalar","Watt m-2","312.453","15.0"
"Forcings","SurfaceDownwardLWRadiation","GEWEX.SRB","E3SM-FUN3.0","Model Period Mean (complement)","MeanState","global","scalar","Watt m-2","nan","15.0"
"Forcings","SurfaceDownwardLWRadiation","GEWEX.SRB","E3SM-FUN3.0","Spatial Distribution Score","MeanState","global","score","1","0.999756","15.0"
"Forcings","SurfaceDownwardLWRadiation","GEWEX.SRB","E3SM-FUN3.0","Phase Shift","MeanState","global","scalar","months","0.156823","15.0"
"Forcings","SurfaceDownwardLWRadiation","GEWEX.SRB","E3SM-FUN3.0","Seasonal Cycle Score","MeanState","global","score","1","0.982497","15.0"
"Forcings","SurfaceDownwardLWRadiation","GEWEX.SRB","E3SM-FUN3.0","Bias","MeanState","global","scalar","Watt m-2","0.113693","15.0"
"Forcings","SurfaceDownwardLWRadiation","GEWEX.SRB","E3SM-FUN3.0","Bias Score","MeanState","global","score","1","0.857475","15.0"
"Forcings","SurfaceDownwardLWRadiation","GEWEX.SRB","E3SM-FUN3.0","RMSE","MeanState","global","scalar","Watt m-2","4.55325","15.0"
"Forcings","SurfaceDownwardLWRadiation","GEWEX.SRB","E3SM-FUN3.0","RMSE Score","MeanState","global","score","1","0.92819","15.0"
"Forcings","SurfaceDownwardLWRadiation","GEWEX.SRB","E3SM-FUN3.0","Overall Score","MeanState","global","score","1","0.939222","15.0"
"Forcings","SurfaceDownwardLWRadiation","GEWEX.SRB","E3SM-FUN2.0","Benchmark Period Mean (intersection)","MeanState","global","scalar","Watt m-2","312.362","15.0"
"Forcings","SurfaceDownwardLWRadiation","GEWEX.SRB","E3SM-FUN2.0","Benchmark Period Mean (complement)","MeanState","global","scalar","Watt m-2","353.696","15.0"
"Forcings","SurfaceDownwardLWRadiation","GEWEX.SRB","E3SM-FUN2.0","Period Mean (original grids)","MeanState","global","scalar","Watt m-2","313.1","15.0"
"Forcings","SurfaceDownwardLWRadiation","GEWEX.SRB","E3SM-FUN2.0","Model Period Mean (intersection)","MeanState","global","scalar","Watt m-2","312.453","15.0"
"Forcings","SurfaceDownwardLWRadiation","GEWEX.SRB","E3SM-FUN2.0","Model Period Mean (complement)","MeanState","global","scalar","Watt m-2","nan","15.0"
"Forcings","SurfaceDownwardLWRadiation","GEWEX.SRB","E3SM-FUN2.0","Spatial Distribution Score","MeanState","global","score","1","0.999756","15.0"
"Forcings","SurfaceDownwardLWRadiation","GEWEX.SRB","E3SM-FUN2.0","Phase Shift","MeanState","global","scalar","months","0.156823","15.0"
"Forcings","SurfaceDownwardLWRadiation","GEWEX.SRB","E3SM-FUN2.0","Seasonal Cycle Score","MeanState","global","score","1","0.982497","15.0"
