Section,Variable,Source,Model,ScalarName,AnalysisType,Region,ScalarType,Units,Data
EcosystemandCarbonCycle,GrossPrimaryProductivity,FLUXCOM,E3SM,Model Period Mean (complement),MeanState,global,scalar,Pg yr-1,24.5413
EcosystemandCarbonCycle,GrossPrimaryProductivity,FLUXCOM,E3SM,Benchmark Period Mean (intersection),MeanState,bona,scalar,Pg yr-1,2.74242
EcosystemandCarbonCycle,GrossPrimaryProductivity,FLUXCOM,E3SM,Benchmark Period Mean (complement),MeanState,bona,scalar,Pg yr-1,0.0114996
EcosystemandCarbonCycle,GrossPrimaryProductivity,FLUXCOM,E3SM,Period Mean (original grids),MeanState,bona,scalar,Pg yr-1,7.80746
EcosystemandCarbonCycle,GrossPrimaryProductivity,FLUXCOM,E3SM,Model Period Mean (intersection),MeanState,bona,scalar,Pg yr-1,6.67525
EcosystemandCarbonCycle,GrossPrimaryProductivity,FLUXCOM,E3SM,Model Period Mean (complement),MeanState,bona,scalar,Pg yr-1,0.789201
EcosystemandCarbonCycle,GrossPrimaryProductivity,FLUXCOM,E3SM,Spatial Distribution Score,MeanState,global,score,1,0.961059
EcosystemandCarbonCycle,GrossPrimaryProductivity,FLUXCOM,E3SM,Spatial Distribution Score,MeanState,bona,score,1,0.692165
EcosystemandCarbonCycle,GrossPrimaryProductivity,FLUXCOM,E3SM,Phase Shift,MeanState,global,scalar,months,1.00304
EcosystemandCarbonCycle,GrossPrimaryProductivity,FLUXCOM,E3SM,Seasonal Cycle Score,MeanState,global,score,1,0.845968
EcosystemandCarbonCycle,GrossPrimaryProductivity,FLUXCOM,E3SM,Phase Shift,MeanState,bona,scalar,months,0.794281
EcosystemandCarbonCycle,GrossPrimaryProductivity,FLUXCOM,E3SM,Seasonal Cycle Score,MeanState,bona,score,1,0.966443
EcosystemandCarbonCycle,GrossPrimaryProductivity,FLUXCOM,E3SM,Bias,MeanState,global,scalar,g m-2 d-1,0.648848
EcosystemandCarbonCycle,GrossPrimaryProductivity,FLUXCOM,E3SM,Bias Score,MeanState,global,score,1,0.509111
EcosystemandCarbonCycle,GrossPrimaryProductivity,FLUXCOM,E3SM,Bias,MeanState,bona,scalar,g m-2 d-1,1.16087
EcosystemandCarbonCycle,GrossPrimaryProductivity,FLUXCOM,E3SM,Bias Score,MeanState,bona,score,1,0.468914
EcosystemandCarbonCycle,GrossPrimaryProductivity,FLUXCOM,E3SM,RMSE,MeanState,global,scalar,g m-2 d-1,1.47026
EcosystemandCarbonCycle,GrossPrimaryProductivity,FLUXCOM,E3SM,RMSE Score,MeanState,global,score,1,0.504836
EcosystemandCarbonCycle,GrossPrimaryProductivity,FLUXCOM,E3SM,RMSE,MeanState,bona,scalar,g m-2 d-1,1.83629
EcosystemandCarbonCycle,GrossPrimaryProductivity,FLUXCOM,E3SM,RMSE Score,MeanState,bona,score,1,0.47263
EcosystemandCarbonCycle,GrossPrimaryProductivity,FLUXCOM,E3SM,Overall Score,MeanState,global,score,1,0.665162
EcosystemandCarbonCycle,GrossPrimaryProductivity,FLUXCOM,E3SM,Overall Score,MeanState,bona,score,1,0.614556
EcosystemandCarbonCycle,GrossPrimaryProductivity,FLUXCOM,E3SM,Evapotranspiration Hellinger Distance,Relationships,global,scalar,1,0.492287
EcosystemandCarbonCycle,GrossPrimaryProductivity,FLUXCOM,E3SM,Evapotranspiration RMSE Score,Relationships,global,score,1,0.0645581
EcosystemandCarbonCycle,GrossPrimaryProductivity,FLUXCOM,E3SM,Evapotranspiration Hellinger Distance,Relationships,bona,scalar,1,0.543494
EcosystemandCarbonCycle,GrossPrimaryProductivity,FLUXCOM,E3SM,Evapotranspiration RMSE Score,Relationships,bona,score,1,0.00548149
EcosystemandCarbonCycle,GrossPrimaryProductivity,FLUXCOM,E3SM,Overall Score,Relationships,global,score,1,0.0645581
EcosystemandCarbonCycle,GrossPrimaryProductivity,FLUXCOM,E3SM,Overall Score,Relationships,bona,score,1,0.00548149
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM-FUN3.0,Benchmark Period Mean (intersection),MeanState,global,scalar,Pg yr-1,95.378
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM-FUN3.0,Benchmark Period Mean (complement),MeanState,global,scalar,Pg yr-1,0.211168
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM-FUN3.0,Period Mean (original grids),MeanState,global,scalar,Pg yr-1,166.682
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM-FUN3.0,Model Period Mean (intersection),MeanState,global,scalar,Pg yr-1,136.96
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM-FUN3.0,Model Period Mean (complement),MeanState,global,scalar,Pg yr-1,24.6867
