Section,Variable,Source,Model,ScalarName,AnalysisType,Region,ScalarType,Units,Data
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,NorESM1-M,Benchmark Period Mean (complement),MeanState,global,scalar,Pg,nan
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,NorESM1-M,Period Mean (original grids),MeanState,global,scalar,Pg,613.234
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,NorESM1-M,Model Period Mean (intersection),MeanState,global,scalar,Pg,62.6946
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,NorESM1-M,Model Period Mean (complement),MeanState,global,scalar,Pg,538.725
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,NorESM1-M,Benchmark Period Mean (intersection),MeanState,above,scalar,Pg,130.594
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,NorESM1-M,Benchmark Period Mean (complement),MeanState,above,scalar,Pg,nan
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,NorESM1-M,Period Mean (original grids),MeanState,above,scalar,Pg,25.0658
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,NorESM1-M,Model Period Mean (intersection),MeanState,above,scalar,Pg,15.2843
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,NorESM1-M,Model Period Mean (complement),MeanState,above,scalar,Pg,10.2343
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,NorESM1-M,Spatial Distribution Score,MeanState,global,score,1,0.101112
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,NorESM1-M,Spatial Distribution Score,MeanState,above,score,1,0.0663862
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,NorESM1-M,Bias,MeanState,global,scalar,kg m-2,-18.2923
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,NorESM1-M,Bias Score,MeanState,global,score,1,0.425221
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,NorESM1-M,Bias,MeanState,above,scalar,kg m-2,-17.9238
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,NorESM1-M,Bias Score,MeanState,above,score,1,0.414545
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,NorESM1-M,Overall Score,MeanState,global,score,1,0.263166
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,NorESM1-M,Overall Score,MeanState,above,score,1,0.240465
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,MIROC-ESM,Benchmark Period Mean (intersection),MeanState,global,scalar,Pg,449.346
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,MIROC-ESM,Benchmark Period Mean (complement),MeanState,global,scalar,Pg,23.4994
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,MIROC-ESM,Period Mean (original grids),MeanState,global,scalar,Pg,1783.19
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,MIROC-ESM,Model Period Mean (intersection),MeanState,global,scalar,Pg,660.468
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,MIROC-ESM,Model Period Mean (complement),MeanState,global,scalar,Pg,1411.46
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,MIROC-ESM,Benchmark Period Mean (intersection),MeanState,above,scalar,Pg,120.79
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,MIROC-ESM,Benchmark Period Mean (complement),MeanState,above,scalar,Pg,9.86724
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,MIROC-ESM,Period Mean (original grids),MeanState,above,scalar,Pg,289.348
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,MIROC-ESM,Model Period Mean (intersection),MeanState,above,scalar,Pg,214.649
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,MIROC-ESM,Model Period Mean (complement),MeanState,above,scalar,Pg,62.6698
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,MIROC-ESM,Spatial Distribution Score,MeanState,global,score,1,0.889002
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,MIROC-ESM,Spatial Distribution Score,MeanState,above,score,1,0.834521
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,MIROC-ESM,Bias,MeanState,global,scalar,kg m-2,10.0383
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,MIROC-ESM,Bias Score,MeanState,global,score,1,0.608185
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,MIROC-ESM,Bias,MeanState,above,scalar,kg m-2,15.6719
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,MIROC-ESM,Bias Score,MeanState,above,score,1,0.535403
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,MIROC-ESM,Overall Score,MeanState,global,score,1,0.748593
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,MIROC-ESM,Overall Score,MeanState,above,score,1,0.684962
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,EnsembleCMIP5,Benchmark Period Mean (intersection),MeanState,global,scalar,Pg,472.846
EcosystemandCarbonCycle,SoilCarbon,NCSCDV22,EnsembleCMIP5,Benchmark Period Mean (complement),MeanState,global,scalar,Pg,nan
